"main.id","hpq_cct_mem.id","cct_mem_refno"
"280687","3","7"
"280687","4","8"
"280725","0","2"
"280725","1","3"
"280725","2","4"
"280725","3","5"
"280733","0","1"
"289303","0","10"
"291632","0","4"
"291650","0","6"
"291650","1","5"
"291653","0","5"
"291661","0","5"
"291661","1","6"
"291671","0","6"
"291671","1","4"
"291691","0","5"
"291691","1","4"
"291695","0","4"
"291695","1","5"
"291695","2","6"
"293518","0","2"
"293518","1","3"
"293518","2","4"
"293518","3","5"
"293612","0","2"
"293612","1","3"
"293612","2","4"
"293612","3","5"
"293643","0","2"
"293643","1","3"
"293643","2","4"
"293643","3","5"
"294775","0","5"
"294775","1","6"
"294779","0","3"
"294779","1","4"
"294780","0","6"
"294780","1","7"
"294780","2","8"
"298906","0","2"
"298906","1","4"
"298906","2","5"
"298907","0","2"
"298907","1","3"
"298907","2","5"
"298907","3","6"
"300874","0","3"
"300874","1","4"
"300874","2","5"
"300905","0","3"
"300905","1","4"
"300905","2","5"
"300908","0","3"
"300908","1","4"
"300908","2","5"
"300915","0","4"
"301479","0","2"
"301479","1","3"
"301479","2","4"
"301479","3","6"
"301483","0","2"
"301483","1","5"
"301483","2","6"
"307760","0","4"
"307760","1","6"
"307760","2","6"
"307763","0","6"
"307763","1","7"
"307768","0","3"
"307768","1","4"
"307768","2","4"
"314046","0","3"
"314046","1","4"
"314046","2","5"
"314046","3","6"
"316979","0","1"
"316979","1","3"
"316991","0","1"
"316991","1","5"
"316991","2","4"
"316994","0","2"
"316994","1","3"
"316994","2","4"
"316994","3","5"
"317009","0","1"
"317009","1","5"
"317009","2","4"
"318851","0","2"
"318851","1","3"
"318851","2","4"
"318851","3","5"
"322109","0","2"
"322109","1","3"
"322138","0","2"
"322138","1","3"
"322138","2","4"
"322138","3","5"
"323444","0","2"
"323444","1","5"
"323444","2","6"
"323444","3","8"
"326092","0","2"
"326092","1","3"
"326092","2","4"
"326096","0","2"
"326096","1","6"
"327671","0","1"
"327671","1","6"
"327676","0","6"
"327676","1","7"
"327676","2","8"
"327684","0","9"
"327684","1","22"
"327684","2","23"
"327728","0","2"
"327728","1","3"
"327728","2","4"
"327750","0","2"
"327750","1","8"
"327750","2","9"
"327750","3","10"
"329775","0","16"
"329775","1","17"
"329775","2","18"
"333119","0","2"
"333119","1","4"
"333119","2","5"
"333119","3","6"
"333119","4","7"
"333125","0","1"
"333125","1","2"
"333125","2","3"
"333126","0","1"
"333868","0","14"
"333868","1","15"
"333868","2","16"
"337277","0","1"
"337277","1","4"
"337277","2","5"
"337282","0","1"
"337282","1","6"
"337570","0","1"
"337570","1","5"
"337601","0","3"
"337601","1","5"
"337656","0","1"
"337690","0","1"
"337690","1","4"
"337690","2","5"
"337716","0","1"
"337716","1","3"
"337716","2","4"
"337716","3","5"
"340029","0","2"
"340029","1","4"
"340029","2","5"
"351036","0","2"
"351036","1","7"
"351040","0","5"
"351040","1","6"
"351045","0","6"
"351052","0","2"
"351052","1","5"
"351052","2","6"
"356991","0","10"
"356997","0","3"
"356997","1","4"
"356997","2","5"
"356999","0","5"
"356999","1","6"
"356999","2","7"
"357000","0","7"
"357000","1","8"
"357000","2","9"
"357001","0","5"
"357001","1","6"
"357001","2","7"
"357005","0","6"
"357005","1","7"
"357022","0","2"
"357022","1","3"
"357022","2","4"
"357022","3","5"
"357022","4","6"
"358581","0","2"
"358581","1","3"
"358581","2","4"
"358581","3","5"
"358736","0","2"
"358736","1","3"
"358736","2","4"
"358736","3","5"
"358772","0","1"
"358772","1","2"
"367446","0","2"
"367446","1","5"
"367446","2","6"
"367446","3","6"
"372990","0","2"
"372990","1","3"
"373029","0","1"
"373029","1","2"
"376970","0","1"
"376970","1","4"
"376970","2","5"
"377062","0","1"
"377062","1","2"
"377062","2","3"
"383948","0","6"
"383948","1","7"
"383948","2","8"
"383949","0","8"
"383949","1","9"
"383949","2","10"
"383960","0","11"
"383960","1","12"
"383960","2","13"
"383962","0","5"
"383962","1","6"
"388851","0","12"
"388851","1","13"
"388851","2","14"
"388851","3","15"
"390695","0","11"
"390704","0","11"
"390704","1","12"
"390704","2","13"
"390707","0","5"
"390707","1","6"
"390707","2","7"
"395143","0","3"
"395143","1","2"
"395144","0","6"
"395144","1","7"
"395158","0","3"
"395158","1","5"
"395158","2","4"
"395160","0","3"
"395160","1","4"
"397038","0","3"
"397038","1","4"
"397046","0","9"
"397046","1","10"
"397112","0","9"
"397122","0","2"
"397122","1","7"
"397122","2","8"
"397127","0","7"
"398854","0","2"
"398854","1","5"
"398854","2","6"
"398854","3","6"
"398905","0","2"
"398905","1","5"
"398905","2","6"
"398905","3","6"
"398930","0","4"
"398930","1","5"
"398930","2","6"
"398930","3","15"
"398934","0","5"
"398966","0","4"
"399029","0","3"
"399029","1","4"
"399033","0","4"
"399042","0","3"
"399042","1","4"
"399057","0","4"
"400857","0","5"
"400862","0","10"
